Timestamp (ms),F_IMU_ABS_Z
5185,-13.5625
5194,-13.5625
5205,-13.5625
5215,-13.5625
5225,-13.5625
5238,-13.5625
5244,-13.5625
5255,-13.5625
5265,-13.5625
5275,-13.5625
5286,-13.5625
5293,-13.5625
5305,-13.5625
5316,-13.5625
5326,-13.5625
5337,-13.5625
5345,-13.5625
5355,-13.5625
5366,-13.5625
5376,-13.5625
5386,-13.5625
5394,-13.5625
5406,-13.5625
5416,-13.5625
5426,-13.5625
5438,-13.5625
5444,-13.5625
5456,-13.5625
5466,-13.5625
5476,-13.5625
5487,-13.5625
5493,-13.5625
5506,-13.5625
5516,-13.5625
5526,-13.5625
5537,-13.5625
5544,-13.5625
5556,-13.5625
5566,-13.5625
5576,-13.5625
5587,-13.5625
5593,-13.5625
5606,-13.5625
5616,-13.5625
5626,-13.5625
5637,-13.5625
5644,-13.5625
5656,-13.5625
5666,-13.5625
5676,-13.5625
5689,-13.5625
5693,-13.5625
5706,-13.5625
5716,-13.5625
5726,-13.5625
5738,-13.5625
5744,-13.5625
5756,-13.5
5766,-13.5
5776,-13.5
5787,-13.5
5793,-13.5
5806,-13.5
5816,-13.5
5826,-13.5
5838,-13.5
5843,-13.5
5856,-13.5
5866,-13.5
5876,-13.5
5888,-13.5
5893,-13.5
5906,-13.5
5916,-13.5
5926,-13.5
5940,-13.5
5944,-13.5
5957,-13.5
5966,-13.5
5976,-13.5
5988,-13.5
5993,-13.5
6007,-13.5
6016,-13.5
6026,-13.5
6038,-13.5
6043,-13.5
6056,-13.5
6066,-13.5
6076,-13.5
6088,-13.5
6093,-13.5
6105,-13.5
6115,-13.5
6125,-13.5
6138,-13.5
6143,-13.5
6155,-13.5
6165,-13.5
6175,-13.5
6188,-13.5
6193,-13.5
6205,-13.5
6215,-13.5
6225,-13.5
6240,-13.5
6244,-13.5
6255,-13.5
6265,-13.5
6275,-13.5
6288,-13.5
6293,-13.5
6305,-13.5
6314,-13.5
6324,-13.5
6338,-13.5
6343,-13.5
6354,-13.5
6364,-13.5
6374,-13.5
6387,-13.5
6393,-13.5
6404,-13.5
6414,-13.5
6424,-13.5
6439,-13.5
6443,-13.5
6454,-13.5
6464,-13.5
6474,-13.5
6484,-13.5
6493,-13.5
6504,-13.5
6514,-13.5
6524,-13.5
6534,-13.5
6543,-13.5
6553,-13.5
6563,-13.5
6573,-13.5
6584,-13.5
6593,-13.5
6603,-13.5
6613,-13.5
6623,-13.5
6639,-13.5
6643,-13.5
6653,-13.5
6663,-13.5
6673,-13.5
6683,-13.5
6693,-13.5
6703,-13.5
6713,-13.5
6723,-13.5
6733,-13.5
6743,-13.5
6753,-13.5
6763,-13.5
6773,-13.5
6789,-13.5
6794,-13.5
6803,-13.5
6813,-13.5
6823,-13.5
6833,-13.5
6843,-13.5
6853,-13.5
6863,-13.5
6873,-13.5
6883,-13.5
6893,-13.5
6903,-13.5
6913,-13.5
6923,-13.5
6939,-13.5
6944,-13.5
6953,-13.5
6963,-13.5
6973,-13.5
6983,-13.5
6993,-13.5
7003,-13.5
7013,-13.5
7023,-13.5
7033,-13.5
7043,-13.5
7053,-13.5
7063,-13.5
7073,-13.5
7083,-13.5
7094,-13.5
7103,-13.5
7113,-13.5
7123,-13.5
7138,-13.5
7144,-13.5
7153,-13.5
7163,-13.5
7173,-13.5
7184,-13.5
7194,-13.5
7203,-13.5
7213,-13.5
7224,-13.5
7234,-13.5
7244,-13.5
7254,-13.5
7264,-13.5
7274,-13.5
7289,-13.5
7294,-13.5
7304,-13.5
7314,-13.5
7324,-13.5
7334,-13.5
7344,-13.5
7354,-13.5
7364,-13.5
7374,-13.5
7384,-13.5
7394,-13.5
7404,-13.5
7414,-13.5
7424,-13.5
7434,-13.5
7444,-13.5
7454,-13.5
7464,-13.5
7474,-13.5
7486,-13.5
7494,-13.5
7504,-13.5
7514,-13.5
7524,-13.5
7534,-13.5
7544,-13.5
7554,-13.5
7564,-13.5
7574,-13.5
7585,-13.5
7594,-13.5
7604,-13.5
7614,-13.5
7624,-13.5
7637,-13.5
7645,-13.5
7654,-13.5
7664,-13.5
7675,-13.5
7685,-13.5
7695,-13.5
7704,-13.5
7714,-13.5
7724,-13.5
7735,-13.5
7745,-13.5
7754,-13.5
7764,-13.5
7774,-13.5
7785,-13.5
7795,-13.5
7804,-13.5
7815,-13.5
7825,-13.5
7838,-13.5
7845,-13.5
7855,-13.5
7865,-13.5
7875,-13.5
7885,-13.5
7895,-13.5
7904,-13.5
7915,-13.5
7925,-13.5
7935,-13.5
7945,-13.5
7955,-13.5
7965,-13.5
7975,-13.5
7985,-13.5
7995,-13.5
8004,-13.5
8015,-13.5
8025,-13.5
8036,-13.5
8045,-13.5
8054,-13.5
8065,-13.5
8075,-13.5
8088,-13.5
8095,-13.5
8104,-13.5
8115,-13.5
8125,-13.5
8136,-13.5
8145,-13.5
8155,-13.5
8165,-13.5
8175,-13.5
8186,-13.5
8195,-13.5
8204,-13.5
8215,-13.5
8225,-13.5
8236,-13.5
8246,-13.5
8255,-13.5
8266,-13.5
8276,-13.5
8287,-13.5
8296,-13.5
8304,-13.5
8316,-13.5
8325,-13.5
