Timestamp (ms),F_IMU_GYRO_X
5185,-0.0625
5194,-0.0625
5205,0.0
5215,-0.1875
5225,-0.1875
5225,-0.1875
5238,-0.0625
5244,-0.0625
5255,-0.0625
5265,-0.0625
5275,-0.0625
5286,-0.1875
5293,-0.1875
5305,0.0
5316,-0.125
5326,-0.25
5326,-0.25
5337,-0.125
5345,-0.125
5355,-0.0625
5366,0.0
5376,0.0
5386,-0.125
5394,-0.125
5406,-0.0625
5416,0.0
5426,-0.0625
5438,-0.125
5444,-0.125
5456,-0.0625
5466,0.0
5476,-0.125
5487,-0.0625
5493,-0.0625
5506,-0.1875
5516,-0.1875
5526,0.0
5537,-0.125
5544,-0.125
5556,-0.1875
5566,-0.1875
5576,-0.125
5576,-0.125
5587,-0.0625
5593,-0.0625
5606,-0.0625
5616,-0.125
5626,-0.3125
5626,-0.3125
5637,-0.0625
5644,-0.0625
5656,0.0
5666,0.0
5676,-0.125
5689,-0.3125
5693,-0.3125
5706,-0.375
5716,0.0625
5726,0.4375
5738,-0.5625
5744,-0.5625
5756,-1.125
5766,0.0625
5776,0.375
5776,0.375
5787,0.125
5793,0.25
5806,-0.25
5816,-0.4375
5826,0.0625
5826,0.0625
5838,0.125
5843,0.125
5856,0.125
5866,-0.3125
5876,-0.5625
5876,-0.5625
5888,0.0
5893,0.0
5906,0.25
5916,0.125
5926,-0.375
5926,-0.375
5940,-0.125
5944,-0.125
5957,-0.375
5966,-0.0625
5976,0.25
5988,-0.25
5993,-0.25
6007,-0.25
6016,-0.25
6026,0.0625
6038,-0.125
6043,-0.1875
6056,-0.25
6066,-0.1875
6076,-0.0625
6076,-0.0625
6088,0.0625
6093,0.0625
6105,-0.0625
6115,0.0625
6125,-0.1875
6138,-0.1875
6143,0.1875
6155,0.0625
6165,-0.25
6175,-0.4375
6175,-0.4375
6188,-0.125
6193,0.125
6205,-0.1875
6215,-0.375
6225,-0.25
6240,-0.0625
6244,-0.0625
6255,0.125
6265,-0.0625
6275,-0.3125
6275,-0.3125
6288,-0.25
6293,-0.125
6305,-0.0625
6314,0.125
6324,0.125
6324,0.125
6338,0.0
6343,-0.25
6354,-0.25
6364,-0.125
6374,0.0
6374,0.0
6387,-0.25
6393,-0.4375
6404,-0.3125
6414,-0.3125
6424,-0.125
6439,0.0625
6443,-0.25
6454,-0.1875
6464,0.0625
6474,-0.125
6484,0.0625
6493,0.0625
6504,-0.125
6514,-0.125
6524,-0.3125
6534,-0.1875
6543,-0.0625
6553,-0.1875
6563,-0.3125
6573,-0.125
6584,-0.25
6593,-0.1875
6603,-0.0625
6613,-0.25
6623,-0.1875
6623,-0.1875
6639,-0.1875
6643,-0.1875
6653,-0.0625
6663,-0.0625
6673,-0.125
6683,-0.1875
6693,-0.125
6703,-0.1875
6713,-0.1875
6723,-0.3125
6733,-0.125
6743,0.0
6753,-0.25
6763,-0.1875
6773,-0.0625
6789,-0.0625
6794,-0.125
6803,-0.0625
6813,-0.125
6823,-0.0625
6833,0.0625
6843,-0.0625
6853,-0.1875
6863,-0.25
6873,-0.25
6873,-0.25
6883,-0.125
6893,-0.125
6903,-0.1875
6913,-0.1875
6923,-0.1875
6939,-0.125
6944,-0.25
6953,-0.25
6963,-0.125
6973,-0.0625
6983,-0.0625
6993,0.0625
7003,-0.125
7013,-0.0625
7023,-0.1875
7023,-0.1875
7033,-0.125
7043,-0.125
7053,-0.125
7063,-0.1875
7073,-0.125
7073,-0.125
7083,-0.125
7094,-0.125
7103,-0.1875
7113,-0.0625
7123,-0.125
7138,-0.125
7144,-0.1875
7153,-0.1875
7163,0.0625
7173,0.125
7173,0.125
7184,0.0625
7194,0.0
7203,-0.0625
7213,-0.125
7224,-0.125
7234,0.0
7244,0.0
7254,-0.125
7264,-0.1875
7274,-0.25
7289,-0.125
7294,-0.0625
7304,-0.1875
7314,-0.125
7324,-0.1875
7324,-0.1875
7334,-0.1875
7344,-0.125
7354,-0.1875
7364,-0.0625
7374,-0.0625
7374,-0.0625
7384,-0.125
7394,-0.25
7404,-0.0625
7414,-0.0625
7424,-0.0625
7424,-0.0625
7434,-0.1875
7444,-0.1875
7454,-0.1875
7464,-0.125
7474,-0.125
7474,-0.125
7486,-0.1875
7494,0.0625
7504,-0.125
7514,-0.125
7524,-0.125
7524,-0.125
7534,-0.1875
7544,-0.1875
7554,-0.125
7564,-0.125
7574,-0.125
7585,-0.125
7594,-0.125
7604,-0.0625
7614,-0.0625
7624,-0.125
7637,-0.125
7645,-0.25
7654,-0.1875
7664,-0.0625
7675,-0.125
7685,-0.125
7695,-0.1875
7704,-0.125
7714,-0.125
7724,-0.25
7724,-0.25
7735,-0.1875
7745,-0.125
7754,-0.125
7764,-0.125
7774,-0.25
7774,-0.25
7785,-0.125
7795,-0.125
7804,-0.0625
7815,-0.0625
7825,-0.0625
7838,-0.125
7845,-0.0625
7855,0.0
7865,-0.1875
7875,0.0
7885,0.0
7895,-0.125
7904,-0.125
7915,-0.1875
7925,-0.125
7925,-0.125
7935,-0.0625
7945,0.0
7955,-0.125
7965,-0.25
7975,-0.125
7985,-0.125
7995,-0.0625
8004,-0.0625
8015,-0.0625
8025,-0.0625
8025,-0.0625
8036,-0.25
8045,-0.1875
8054,-0.1875
8065,-0.0625
8075,-0.0625
8075,-0.0625
8088,-0.0625
8095,-0.1875
8104,-0.1875
8115,0.0
8125,-0.25
8136,-0.0625
8145,-0.125
8155,-0.125
8165,0.0
8175,0.0
8186,-0.5
8195,-0.5
8204,-0.0625
8215,-0.0625
8225,-0.0625
8236,-0.25
8246,-0.25
8255,-0.3125
8266,0.125
8276,-0.0625
8276,-0.0625
8287,-0.0625
8296,-0.0625
8304,-0.3125
8316,-0.375
8325,0.0
8325,0.0
8338,-0.125
8346,-0.125
8355,0.0
8366,-0.25
8376,-0.1875
8376,-0.1875
8387,0.0
8396,0.0
8404,0.0
8416,-0.1875
8426,-0.375
8426,-0.375
8437,-0.1875
8446,-0.1875
8454,-0.1875
8466,-0.125
8476,-0.1875
8487,-0.0625
8496,-0.0625
8503,-0.125
8516,0.0
8526,0.0
8526,0.0
8537,-0.1875
8546,-0.1875
8554,-0.125
8566,-0.125
8576,0.0
8576,0.0
8589,-0.25
8596,-0.25
8603,-0.1875
8616,-0.1875
8626,-0.125
8637,-0.25
8646,-0.1875
8653,-0.125
8666,-0.0625
8676,-0.125
8687,-0.1875
8696,-0.1875
8703,-0.25
8716,-0.25
8726,-0.0625
8726,-0.0625
8737,-0.25
8746,-0.25
8753,-0.25
8766,-0.3125
8776,-0.3125
8787,-0.125
8796,-0.125
8803,-0.125
8816,-0.125
8826,-0.0625
8826,-0.0625
8839,-0.125
8847,-0.125
8853,-0.0625
8866,-0.0625
8876,-0.25
8888,-0.25
8896,-0.25
8903,-0.125
8916,0.0
8926,-0.0625
8926,-0.0625
8938,0.0
8946,-0.1875
8953,0.0
8966,-0.1875
8976,-0.0625
8976,-0.0625
8988,-0.1875
8996,-0.0625
9003,-0.0625
9016,-0.125
9026,-0.0625
9038,-0.1875
9045,-0.125
9053,-0.125
9065,-0.1875
9075,-0.1875
9088,-0.0625
9095,-0.0625
9103,-0.0625
9115,-0.25
9125,-0.125
9139,-0.125
9146,-0.125
9153,-0.125
9165,-0.0625
9175,-0.25
9188,-0.0625
9195,0.0
9203,-0.0625
9215,0.0
9225,0.0
9237,-0.1875
9245,-0.1875
9253,-0.0625
9265,-0.0625
9274,-0.125
9288,-0.25
9294,-0.1875
9303,-0.375
9314,-0.0625
9324,-0.1875
9324,-0.1875
9346,-0.125
9353,-0.125
9364,-0.125
9374,-0.125
9389,-0.0625
9394,0.0625
9403,-0.0625
9414,-0.1875
9424,-0.3125
9434,-0.0625
9444,-0.125
9453,-0.125
9464,-0.1875
9474,-0.1875
9474,-0.1875
9485,-0.125
9494,-0.1875
9503,0.0
9514,-0.125
9523,-0.0625
9539,-0.125
9544,-0.25
9553,-0.1875
9563,-0.0625
9573,-0.125
9583,-0.1875
9593,-0.0625
9603,-0.0625
9613,-0.1875
9623,-0.125
9623,-0.125
9634,-0.0625
9643,0.0
9653,-0.1875
9663,0.0
9673,-0.0625
9673,-0.0625
9683,-0.25
9693,-0.1875
9703,-0.1875
9713,-0.1875
9723,-0.1875
9737,-0.1875
9743,-0.1875
9753,-0.125
9763,-0.125
9773,-0.125
9773,-0.125
9783,-0.1875
9793,-0.1875
9803,-0.125
9813,-0.0625
9823,-0.25
9823,-0.25
9833,-0.1875
9843,-0.0625
9853,-0.125
9863,0.0
9873,-0.0625
9886,-0.0625
9893,-0.25
9903,-0.0625
9913,0.0
9923,-0.25
9923,-0.25
9933,-0.125
9943,-0.25
9953,-0.125
9963,-0.0625
9973,-0.125
9973,-0.125
9983,-0.25
9993,-0.1875
10003,-0.0625
10013,-0.0625
10023,-0.125
10023,-0.125
10036,-0.125
10043,-0.125
10053,-0.125
10063,-0.1875
10073,0.0
10083,-0.1875
10093,-0.1875
10104,-0.125
10113,-0.3125
10123,-0.3125
10134,-0.0625
10143,-0.0625
10154,-0.1875
10163,-0.3125
10173,-0.3125
10188,-0.25
10193,-0.1875
10204,-0.1875
10214,-0.1875
10224,-0.125
10234,-0.125
10244,-0.1875
10254,-0.125
10264,-0.25
10274,-0.125
10284,-0.1875
10294,-0.125
10304,-0.1875
10314,0.0
10324,-0.0625
10334,-0.125
10344,0.0
10354,0.0625
10364,0.0
10374,0.125
10374,0.125
10388,0.125
10394,0.3125
10404,0.4375
10414,0.125
10424,0.25
10424,0.25
10434,-0.125
10444,-0.125
10454,0.125
10464,-0.0625
10474,-0.25
10474,-0.25
10484,-0.125
10494,-0.1875
10504,-0.1875
10514,-0.125
10524,-0.125
10536,-0.1875
10544,-0.0625
10554,-0.0625
10564,0.0
10574,-0.0625
10584,-0.25
10594,-0.625
10604,-0.4375
10614,0.1875
10624,0.1875
10624,0.1875
10635,-0.3125
10644,-0.25
10655,-0.5625
10664,-0.1875
10674,0.0
10684,0.0
10694,-0.0625
10705,-0.25
10714,-0.4375
10724,-0.0625
10738,0.1875
10744,0.125
10755,-0.0625
10764,-0.1875
10774,-0.125
10785,0.0625
10795,0.0
10805,0.0
10814,0.0
10825,-0.1875
10825,-0.1875
10835,-0.3125
10845,-0.3125
10855,-0.125
10864,-0.0625
10875,-0.125
10875,-0.125
10886,-0.3125
10895,-0.3125
10905,-0.1875
10914,-0.1875
10925,0.0
10937,0.25
10945,-0.4375
10955,-0.9375
10965,-0.0625
10975,0.0625
10975,0.0625
10985,-0.125
10995,0.1875
11005,-0.375
11014,-0.375
11025,-0.0625
11036,0.125
11045,-0.125
11055,0.0625
11065,0.0625
11075,-0.1875
11075,-0.1875
11086,0.0
11095,0.0
11105,0.0
11114,0.0
11125,-0.3125
11136,-0.3125
11145,-0.3125
11155,-0.1875
11165,-0.1875
11175,0.0
11175,0.0
11187,-0.25
11195,-0.25
11206,-0.3125
11214,-0.125
11225,-0.0625
11225,-0.0625
11236,-0.125
11246,-0.125
11256,-0.125
11264,-0.1875
11275,-0.1875
11286,-0.0625
11296,-0.0625
11306,-0.125
11314,-0.125
11326,-0.125
11326,-0.125
11336,-0.25
11346,-0.25
11356,-0.1875
11364,-0.125
11376,-0.0625
11387,-0.125
11396,-0.125
11406,-0.125
11414,-0.0625
11426,-0.0625
11426,-0.0625
11438,-0.125
11446,-0.125
11456,0.0
11464,-0.125
11476,-0.1875
11486,-0.125
11496,-0.0625
11506,-0.1875
11513,-0.1875
11526,-0.125
11526,-0.125
11536,-0.1875
11546,-0.1875
11556,-0.1875
11564,0.0
11576,-0.1875
11576,-0.1875
11587,0.0
