Timestamp (ms),F_IMU_GYRO_Y
5185,0.125
5194,0.125
5205,0.25
5215,0.0
5225,-0.25
5238,-0.125
5244,-0.125
5255,-0.0625
5265,0.0
5275,-0.1875
5286,-0.1875
5293,-0.1875
5305,0.0625
5316,0.3125
5326,0.0
5326,0.0
5337,0.0
5345,0.0
5355,-0.0625
5366,-0.25
5376,-0.0625
5386,0.0
5394,0.0
5406,0.0625
5416,-0.125
5426,-0.1875
5438,-0.0625
5444,-0.0625
5456,0.25
5466,-0.0625
5476,0.0
5487,-0.125
5493,-0.125
5506,-0.375
5516,-0.125
5526,-0.0625
5537,-0.0625
5544,-0.0625
5556,0.25
5566,0.1875
5576,0.1875
5587,-0.0625
5593,-0.0625
5606,-0.0625
5616,-0.1875
5626,0.1875
5637,0.1875
5644,0.1875
5656,0.0625
5666,-0.0625
5676,0.0
5689,-0.125
5693,-0.125
5706,0.625
5716,0.1875
5726,1.25
5738,-0.625
5744,-0.625
5756,-0.4375
5766,-0.6875
5776,0.4375
5776,0.4375
5787,0.625
5793,-0.0625
5806,-0.125
5816,0.25
5826,-0.25
5826,-0.25
5838,0.375
5843,0.375
5856,-0.3125
5866,-0.375
5876,-0.1875
5888,0.4375
5893,0.4375
5906,0.3125
5916,-0.125
5926,-0.125
5940,-0.4375
5944,-0.4375
5957,-0.1875
5966,0.375
5976,0.375
5988,0.0625
5993,0.0625
6007,-0.25
6016,-0.25
6026,0.0625
6038,-0.0625
6043,-0.0625
6056,0.0
6066,-0.1875
6076,0.0625
6088,-0.0625
6093,-0.0625
6105,0.125
6115,-0.1875
6125,-0.1875
6138,0.25
6143,0.1875
6155,0.0625
6165,-0.0625
6175,-0.4375
6175,-0.4375
6188,-0.25
6193,0.375
6205,0.4375
6215,-0.375
6225,-0.25
6240,0.25
6244,0.25
6255,0.375
6265,0.25
6275,-0.0625
6275,-0.0625
6288,-0.5625
6293,-0.0625
6305,0.1875
6314,0.0625
6324,0.375
6338,0.0625
6343,-0.375
6354,-0.0625
6364,0.0
6374,0.0625
6387,-0.0625
6393,0.0
6404,-0.125
6414,-0.0625
6424,0.1875
6439,-0.0625
6443,0.0
6454,-0.25
6464,-0.25
6474,0.0
6484,0.0
6493,-0.0625
6504,-0.125
6514,-0.3125
6524,0.0625
6534,0.1875
6543,0.0625
6553,-0.0625
6563,-0.125
6573,-0.375
6584,-0.25
6593,0.125
6603,-0.125
6613,0.0
6623,-0.0625
6639,-0.3125
6643,-0.1875
6653,0.0
6663,-0.125
6673,0.125
6683,0.0
6693,-0.0625
6703,-0.0625
6713,-0.1875
6723,-0.3125
6733,-0.0625
6743,0.0
6753,-0.25
6763,0.0
6773,0.0
6789,0.0625
6794,0.0625
6803,0.0
6813,-0.125
6823,-0.1875
6833,-0.25
6843,0.0
6853,-0.0625
6863,-0.125
6873,0.125
6883,-0.0625
6893,-0.125
6903,-0.125
6913,0.0625
6923,0.25
6939,-0.125
