Timestamp (ms),F_IMU_GYRO_Z
5185,0.0
5194,0.0
5205,-0.1875
5215,-0.125
5225,0.0625
5238,0.0625
5244,0.0625
5255,0.0
5265,-0.125
5275,0.125
5286,-0.0625
5293,-0.0625
5305,-0.0625
5316,-0.125
5326,-0.0625
5326,-0.0625
5337,0.125
5345,0.125
5355,-0.0625
5366,0.0625
5376,0.0
5386,0.0625
5394,0.0625
5406,-0.0625
5416,0.0
5426,0.0625
5438,-0.1875
5444,-0.1875
5456,0.0625
5466,0.1875
5476,0.125
5487,0.0
5493,0.0
5506,-0.0625
5516,-0.0625
5526,-0.0625
5537,-0.125
5544,-0.125
5556,-0.0625
5566,0.0625
5576,-0.0625
5587,0.0625
5593,0.0625
5606,0.0625
5616,0.0
5626,0.0
5637,0.0
5644,0.0
5656,-0.0625
5666,-0.125
5676,-0.1875
5689,-0.125
5693,-0.125
5706,-0.125
5716,-0.125
5726,-0.0625
5738,-0.125
5744,-0.125
5756,-0.0625
5766,0.1875
5776,0.125
5776,0.125
5787,0.25
5793,-0.1875
5806,-0.4375
5816,-0.3125
5826,-0.125
5826,-0.125
5838,0.25
5843,0.25
5856,0.1875
5866,-0.1875
5876,-0.1875
5888,-0.0625
5893,-0.0625
5906,0.0625
5916,0.0
5926,0.0625
5940,0.0625
5944,0.0625
5957,0.125
5966,0.25
5976,-0.125
5988,-0.0625
5993,-0.0625
6007,0.1875
6016,0.0
6026,0.0625
6038,0.0625
6043,0.0625
6056,0.125
6066,0.0625
6076,-0.0625
6088,0.0
6093,0.0625
6105,0.1875
6115,0.0
6125,0.0
6138,-0.0625
6143,0.0
6155,-0.125
6165,0.0
6175,0.0625
6175,0.0625
6188,0.125
6193,0.125
6205,0.125
6215,-0.125
6225,-0.1875
6240,0.0
6244,0.0
6255,-0.125
6265,-0.0625
6275,0.0
6275,0.0
6288,-0.0625
6293,0.0
6305,0.0
6314,0.0
6324,0.0
6338,-0.0625
6343,0.0
6354,0.125
6364,0.0
6374,-0.125
6387,-0.0625
6393,0.125
6404,0.0
6414,0.0625
6424,-0.0625
6439,0.0625
6443,0.0625
6454,-0.125
6464,0.0
6474,0.0
6484,0.0625
6493,-0.0625
6504,-0.0625
6514,0.125
6524,-0.0625
6534,-0.0625
6543,0.0625
6553,0.0625
6563,0.0625
6573,0.0625
6584,-0.0625
6593,-0.0625
6603,-0.125
6613,0.0625
6623,0.125
6639,0.0625
6643,0.0
6653,-0.0625
6663,0.0
6673,-0.0625
6683,-0.0625
6693,-0.0625
6703,0.0625
6713,0.125
6723,0.0
6733,0.25
6743,0.0
6753,0.25
6763,0.0
6773,0.125
6789,-0.0625
6794,0.0625
6803,-0.0625
6813,0.0625
6823,0.0625
6833,0.0625
6843,-0.125
6853,0.1875
6863,0.0
6873,0.1875
6883,0.0
6893,-0.0625
6903,0.0625
6913,0.0
6923,0.0
6939,0.0
6944,0.0625
6953,-0.0625
6963,0.0625
6973,0.125
6983,0.0625
6993,0.0
7003,0.125
7013,-0.1875
7023,-0.125
7023,-0.125
7033,-0.125
7043,0.125
