Timestamp (ms),INT_STRAIN2
5169,9
5169,11
5170,7
5170,10
5170,4
5170,9
5170,11
5170,9
5170,12
5170,5
5170,9
5171,12
5171,9
5171,12
5171,6
5171,9
5171,12
5171,11
5171,11
5171,6
5171,8
5172,12
5172,10
5172,11
5172,5
5172,8
5172,12
5172,10
5172,12
5172,6
5173,7
5173,11
5173,10
5173,11
5173,6
5173,8
5173,11
5173,11
5173,13
5173,6
5174,6
5174,11
5174,9
5174,12
5174,7
5174,6
5174,12
5174,9
5174,12
5175,8
5175,6
5175,11
5175,9
5175,12
5175,9
5175,6
5175,11
5175,8
5175,12
5176,10
5176,6
5176,10
5176,9
5176,12
5176,12
5176,6
5176,10
5176,9
5177,11
5177,12
5177,6
5177,10
5177,10
5177,11
5177,12
5177,6
5177,9
5178,10
5178,11
5178,12
5178,6
5178,9
5178,10
5178,11
5178,12
5178,6
5178,8
5179,10
5179,10
5179,11
5179,6
5179,8
5179,10
5179,10
5186,10
5186,5
5186,10
5186,9
5186,11
5186,11
5186,6
5186,9
5187,8
5187,11
5187,11
5187,6
5187,9
5187,9
5187,11
5187,12
5187,6
5188,9
5188,9
5188,10
5188,12
5188,6
5188,8
5188,10
5188,11
5188,12
5189,6
5189,8
5189,10
5189,10
5189,12
5189,6
5189,8
5194,11
5194,6
5194,9
5195,7
5195,11
5195,11
5195,6
5195,9
5195,6
5195,11
5195,11
5195,6
5195,10
5196,6
5196,10
5196,12
5196,7
5196,10
5196,5
5196,10
5196,12
5196,8
5197,12
5197,5
5197,10
5197,12
5197,8
5197,12
5197,5
5197,9
5197,12
5197,10
5198,12
5198,6
5198,9
5198,12
5198,11
5198,11
5198,6
5198,8
5198,12
5199,10
5199,12
5199,6
5199,8
5199,12
5199,9
5199,12
5206,11
5206,11
5206,6
5206,8
5206,9
5206,11
5206,12
5206,6
5207,9
5207,10
5207,10
5207,12
5207,6
5207,7
5207,10
5207,10
5207,12
5207,7
5208,6
5208,11
5208,9
5208,11
5208,9
5208,6
5208,10
5208,8
5208,12
5209,10
5209,6
5209,10
5209,8
5209,11
5209,11
5209,6
5216,8
5216,11
5216,10
5216,5
5216,9
5216,9
5216,11
5216,10
5216,5
5217,10
5217,9
5217,11
5217,8
5217,6
5217,10
5217,9
5217,12
5217,12
5218,6
5218,9
5218,9
5218,12
5218,11
5218,6
5218,10
5218,10
5218,11
5218,12
5219,6
5219,9
5219,9
5219,11
5219,12
5219,6
5235,7
5239,7
5239,10
5239,9
5239,11
5239,7
5245,6
5245,7
5245,9
5245,9
5245,11
5245,8
5245,6
5245,10
5245,8
5246,12
5246,10
5246,7
5246,10
5246,9
5246,12
5246,10
5246,6
5246,10
5246,8
5247,12
5247,11
5247,7
5247,10
5247,8
5247,11
5247,12
5247,7
5247,9
5248,7
5248,12
5248,12
5248,7
5248,9
5248,5
5248,11
5248,12
5248,7
5248,9
5249,6
5249,12
5249,12
5249,6
5249,9
5249,6
5256,12
5256,7
5256,7
5256,10
5256,8
5256,12
5256,8
5256,7
5257,10
5257,8
5257,12
5257,10
5257,7
5257,10
5257,7
5257,12
5257,12
5258,6
5258,9
5258,7
5258,12
5258,11
5258,7
5258,9
5258,7
5258,11
5258,12
5259,7
5259,9
5259,7
5259,11
5259,11
5259,6
5259,10
5266,11
5266,9
5266,6
5266,10
5266,8
5266,11
5266,11
5267,6
5267,10
5267,8
5267,11
5267,11
5267,6
5267,9
5267,7
5267,12
5268,12
5268,6
5268,9
5268,6
5268,12
5268,12
5268,6
5268,9
5268,6
5268,11
5269,12
5269,7
5269,10
5269,5
5269,10
5269,12
5269,8
5281,8
5287,5
5287,9
5287,9
5287,11
5287,11
5287,6
5287,10
5287,9
5287,11
5288,12
5288,6
5288,10
5288,9
5288,11
5288,12
5288,6
5288,9
5288,10
5288,11
5289,12
5289,5
5289,9
5289,9
5289,11
5289,11
5289,6
5293,10
5293,5
5293,10
5294,11
5294,7
5294,11
5294,5
5294,10
5294,12
5294,8
5294,10
5294,5
5295,9
5295,12
5295,9
5295,11
5295,5
5295,9
5295,12
5295,10
5295,10
5296,5
5296,8
5296,12
5296,10
5296,12
5296,6
5296,9
5296,10
5296,11
5296,11
5297,6
5297,8
5297,12
5297,10
5297,11
5297,6
5297,9
5297,12
5297,10
5298,12
5298,5
5298,8
5298,12
5298,10
5298,12
5298,6
5298,8
5298,12
5298,10
5299,12
5299,6
5299,7
5299,11
5299,10
5299,12
5299,6
5306,11
5306,6
5306,10
5306,5
5306,10
5306,11
5306,6
5307,10
5307,5
5307,10
5307,12
5307,7
5307,10
5307,5
5307,10
5307,12
5307,8
5308,11
5308,5
5308,10
5308,12
5308,10
5308,12
5308,6
5308,9
5308,12
5309,10
5309,11
5309,5
5309,9
5309,12
5309,9
5309,11
5316,6
5316,9
5316,8
5316,11
5316,11
5317,6
5317,9
5317,7
5317,12
5317,11
5317,6
5317,10
5317,7
5317,12
5317,12
5318,7
5318,9
5318,7
5318,12
5318,12
5318,6
5318,9
5318,6
5318,12
5319,10
5319,6
5319,9
5319,7
5319,11
5319,12
5319,6
5331,11
5337,7
5337,11
5337,9
5337,6
5337,10
5338,9
5338,12
5338,10
5338,6
5338,10
5338,8
5338,12
5338,11
5338,6
5338,10
5339,7
5339,12
5339,12
5339,7
5339,9
5339,7
5339,12
5345,8
5345,11
5345,11
5345,5
5345,9
5346,9
5346,11
5346,12
5346,6
5346,9
5346,10
5346,11
5346,12
5346,6
5346,9
5347,10
5347,11
5347,12
5347,6
5347,9
5347,10
5347,10
5347,12
5347,6
5348,8
5348,10
5348,10
5348,12
5348,7
5348,7
5348,10
5348,10
5348,12
5349,8
5349,7
5349,10
5349,9
5349,12
5349,10
5349,6
5356,5
5356,10
5356,9
5356,12
5356,11
5356,5
5357,10
5357,9
5357,12
5357,12
5357,6
5357,8
5357,10
5357,11
5357,12
5358,6
5358,10
5358,10
5358,11
5358,12
5358,5
5358,9
5358,10
5358,11
5358,12
5359,6
5359,9
5359,10
5359,12
5359,12
5359,5
5359,9
5366,11
5366,10
5366,5
5366,9
5366,9
5367,11
5367,11
5367,6
5367,9
5367,9
5367,11
5367,12
5367,6
5367,9
5368,9
5368,11
5368,12
5368,6
5368,9
5368,10
5368,11
5368,12
5368,6
5368,9
5369,9
5369,11
5369,12
5369,6
5369,9
5369,10
5369,11
5381,11
5387,9
5387,11
5387,11
5387,6
5387,8
5387,9
5387,11
5388,12
5388,6
5388,9
5388,10
5388,11
5388,12
5388,7
5388,8
5388,10
5389,10
5389,12
5389,7
5389,8
5389,10
5389,10
5389,12
5395,8
5395,11
5395,9
5395,11
5395,6
5395,8
5395,12
5395,10
5395,11
5396,6
5396,8
5396,11
5396,10
5396,11
5396,6
5396,7
5396,11
5396,9
5396,11
5397,8
5397,8
5397,11
5397,9
5397,12
5397,9
5397,6
5397,11
5397,9
5398,12
5398,9
5398,6
5398,12
5398,9
5398,12
5398,11
5398,6
5398,10
5399,9
5399,11
5399,11
5399,6
5399,9
5399,10
5399,11
5406,8
5406,6
5406,10
5406,8
5406,12
5406,8
5407,6
5407,10
5407,8
5407,11
5407,9
5407,6
5407,11
5407,9
5407,11
5408,12
5408,6
5408,9
5408,10
5408,11
5408,12
5408,6
5408,9
5408,9
5409,11
5409,12
5409,6
5409,10
5409,8
5409,11
5409,11
5416,8
5416,5
5416,11
5416,11
5416,6
5417,9
5417,7
5417,11
5417,11
5417,6
5417,10
5417,6
5417,11
5417,11
5417,6
5418,9
5418,6
5418,11
5418,11
5418,7
5418,10
5418,5
5418,11
5418,11
5419,7
5419,10
5419,5
5419,10
5419,12
5419,9
5419,12
5434,10
5438,5
5439,7
5439,11
5439,9
5439,9
5439,6
5439,8
5439,10
5445,5
5445,8
5445,12
5445,9
5445,11
5445,5
5446,8
5446,11
5446,10
5446,11
5446,5
5446,8
5446,12
5446,10
5446,12
5447,6
5447,8
5447,12
5447,10
5447,12
5447,6
5447,7
5447,12
5447,9
5447,12
5448,6
5448,7
5448,12
5448,9
5448,12
5448,7
5448,6
5448,12
5448,9
5449,11
5449,8
5449,6
5449,11
5449,9
5449,12
5449,9
5456,11
5456,5
5456,9
5456,6
5457,10
5457,10
5457,6
5457,9
5457,6
5457,11
5457,12
5457,6
5457,10
5458,6
5458,10
5458,11
5458,6
5458,9
5458,7
5458,11
5458,12
5458,8
5458,10
5459,5
5459,10
5459,12
5459,7
5459,11
5459,5
5459,9
5466,9
5466,5
5466,10
5466,8
5467,11
5467,11
5467,6
5467,9
5467,9
5467,11
5467,11
5467,6
5467,9
5468,9
5468,11
5468,12
5468,6
5468,9
5468,9
5468,12
5468,12
5468,6
5468,9
5469,10
5469,12
5469,12
5469,6
5469,9
5469,9
5481,5
5487,5
5487,9
5487,9
5487,11
5488,11
5488,5
5488,9
5488,9
5488,11
5488,12
5488,6
5488,9
5488,9
5489,11
5489,12
5489,6
5489,9
5489,10
5489,10
5489,12
5494,11
5494,5
5495,8
5495,12
5495,9
5495,12
5495,6
5495,7
5495,11
5495,9
5495,12
5495,7
5496,6
5496,11
5496,9
5496,11
5496,8
5496,7
5496,11
5496,9
5496,12
5497,8
5497,6
5497,11
5497,9
5497,12
5497,10
5497,6
5497,11
5497,8
5497,12
5498,10
5498,6
5498,10
5498,9
5498,11
5498,10
5498,6
5498,10
5498,9
5499,12
5499,11
5499,6
5499,10
5499,9
5499,12
5499,12
5506,10
5506,9
5506,11
5507,8
5507,7
5507,11
5507,9
5507,11
5507,9
5507,6
5507,11
5507,9
5508,12
5508,10
5508,6
5508,10
5508,9
5508,13
5508,12
5508,6
