Timestamp (ms),<class 'type'>
5169,962
5169,961
5169,959
5169,962
5169,961
5169,962
5169,961
5169,962
5169,961
5169,962
5170,961
5170,962
5170,961
5170,961
5170,961
5170,962
5170,961
5170,962
5170,962
5170,962
5171,961
5171,962
5171,962
5171,962
5171,962
5171,962
5171,962
5171,961
5171,962
5171,962
5172,962
5172,961
5172,962
5172,962
5172,961
5172,961
5172,961
5172,962
5172,961
5172,962
5173,962
5173,964
5173,961
5173,961
5173,962
5173,962
5173,962
5173,961
5173,962
5173,961
5174,961
5174,962
5174,962
5174,964
5174,962
5174,962
5174,962
5174,962
5174,963
5174,961
5175,962
5175,962
5175,962
5175,961
5175,961
5175,961
5175,961
5175,961
5175,962
5175,963
5176,961
5176,962
5176,962
5176,962
5176,962
5176,962
5176,962
5176,961
5176,962
5176,961
5177,961
5177,962
5177,962
5177,962
5177,962
5177,962
5177,962
5177,962
5177,962
5177,961
5178,961
5178,961
5178,963
5178,962
5178,962
5178,961
5178,961
5178,961
5178,962
5178,962
5179,962
5179,962
5179,962
5179,962
5179,961
5179,962
5179,962
5179,962
5179,962
5179,962
5180,961
5180,962
5180,962
5180,962
5180,961
5180,962
5180,962
5180,961
5180,961
5180,961
5181,961
5181,961
5181,962
5181,962
5181,962
5181,961
5181,962
5181,961
5181,962
5181,961
5182,961
5182,962
5182,962
5182,962
5182,961
5182,961
5182,962
5182,962
5182,961
5182,962
5183,962
5183,962
5183,962
5183,962
5183,962
5183,962
5183,962
5183,962
5183,961
5183,961
5184,961
5184,961
5184,961
5184,960
5184,961
5184,961
5184,961
5184,961
5184,961
5184,961
5185,962
5185,962
5185,962
5185,961
5185,961
5185,962
5185,962
5185,962
5185,962
5185,961
5186,962
5186,962
5186,961
5186,962
5186,962
5186,962
5186,961
5186,963
5186,962
5186,962
5187,962
5187,962
5187,962
5187,961
5187,962
5187,962
5187,962
5187,961
5187,961
5187,962
5188,962
5188,962
5188,962
5188,960
5188,962
5188,962
5188,962
5188,962
5188,962
5188,962
5189,961
5189,962
5189,962
5189,962
5189,961
5189,961
5189,964
5189,962
5189,962
5189,962
5190,961
5190,962
5190,962
5190,962
5190,961
5190,962
5190,963
5190,962
5190,962
5190,962
5191,962
5191,962
5191,961
5191,961
5191,961
5191,961
5191,962
5191,961
5191,962
5191,962
5192,962
5192,962
5192,963
5192,961
5192,961
5192,962
5192,962
5192,962
5192,962
5192,961
5193,962
5193,962
5193,962
5193,962
5193,962
5193,962
5193,962
5193,962
5193,962
5193,963
5194,962
5194,962
5194,962
5194,962
5194,962
5194,962
5194,962
5194,963
5194,962
5194,961
5195,962
5195,962
5195,961
5195,962
5195,962
5195,961
5195,961
5195,962
5195,962
5195,962
5196,962
5196,962
5196,962
5196,961
5196,962
5196,962
5196,961
5196,962
5196,962
5196,961
5197,962
5197,962
5197,962
5197,962
5197,962
5197,962
5197,962
5197,962
5197,962
5197,962
5198,962
5198,962
5198,962
5198,962
5198,962
5198,962
5198,961
5198,962
5198,961
5198,962
5199,961
5199,961
5199,962
5199,961
5199,962
5199,962
5199,962
5199,962
5199,963
5199,962
5200,961
5200,961
5200,962
5200,961
5200,962
5200,962
5200,962
5200,962
5200,962
5200,962
5201,962
5201,962
5201,962
5201,962
5201,962
5201,962
5201,962
5201,962
5201,962
5201,962
5202,962
5202,962
5202,962
5202,962
5202,963
5202,962
5202,960
5202,962
5202,961
5202,962
5203,962
5203,962
5203,963
5203,961
5203,961
5203,962
5203,962
5203,962
5203,962
5203,961
5204,962
5204,962
5204,962
5204,963
5204,965
5204,962
5204,962
5204,961
5204,961
5204,962
5205,962
5205,962
5205,963
5205,962
5205,961
5205,961
5205,962
5205,962
5205,962
5205,962
5206,963
5206,962
5206,962
5206,962
5206,962
5206,961
5206,962
5206,962
5206,962
5206,962
5207,962
5207,962
5207,964
5207,962
5207,962
5207,962
5207,961
5207,962
5207,962
5207,962
5208,962
5208,962
5208,962
5208,962
5208,961
5208,963
5208,962
5208,962
5208,962
5208,962
5209,962
5209,962
5209,962
5209,961
5209,961
5209,963
5209,962
5209,962
5209,962
5209,961
5210,962
5210,962
5210,963
5210,962
5210,962
5210,962
5210,962
5210,962
5210,962
5210,962
5211,961
5211,962
5211,962
5211,962
5211,963
5211,962
5211,962
5211,962
5211,961
5211,965
5212,963
5212,962
5212,962
5212,962
5212,962
