Timestamp (ms),<class 'type'>
5169,285
5170,284
5171,284
5172,285
5173,285
5174,285
5175,286
5176,285
5177,285
5178,285
5179,284
5180,284
5181,285
5182,284
5183,285
5184,284
5185,285
5186,285
5187,284
5188,285
5189,285
5190,284
5191,285
5192,284
5193,284
5194,285
5195,284
5196,284
5197,286
5198,285
5199,285
5200,285
5201,285
5202,285
5203,284
5204,284
5205,285
5206,285
5207,285
5208,284
5209,285
5210,286
5211,284
5212,285
5213,285
5214,285
5215,286
5216,285
5217,286
5218,283
5230,285
5230,285
5231,285
5232,285
5233,284
5234,286
5235,285
5236,284
5237,285
5238,285
5239,286
5240,284
5241,285
5242,286
5243,285
5244,285
5245,283
5246,284
5247,285
5248,284
5249,286
5250,283
5251,286
5252,285
5253,284
5254,285
5255,285
5256,285
5257,285
5258,285
5259,284
5260,284
5261,286
5262,284
5263,285
5264,286
5265,284
5266,284
5267,286
5268,286
5273,284
5273,285
5274,284
5275,283
5276,285
5277,284
5278,284
5279,285
5280,284
5281,286
5282,285
5283,283
5284,285
5285,285
5286,284
5287,285
5288,284
5289,284
5290,285
5291,284
5292,286
5293,284
5294,284
5295,286
5296,284
5297,284
5298,286
5299,285
5300,285
5301,286
5302,285
5303,285
5304,287
5305,285
5306,285
5307,286
5308,285
5309,287
5310,285
5311,284
5312,285
5313,285
5314,284
5315,285
5316,284
5317,285
5318,285
5323,286
5323,285
5324,286
5325,285
5326,285
5327,285
5328,284
5329,287
5330,285
5331,285
5332,285
5333,284
5334,285
5335,285
5336,284
5337,285
5338,285
5339,284
5340,286
5341,285
5342,285
5343,284
5344,285
5345,285
5346,285
5347,284
5348,285
5349,285
5350,286
5351,285
5352,285
5353,284
5354,286
5355,286
5356,285
5357,286
5358,285
5359,285
5360,285
5361,285
5362,285
5363,285
5364,284
5365,284
5366,285
5367,284
5368,286
5373,284
5374,285
5375,286
5376,284
5377,285
5378,283
5379,286
5380,284
5381,285
5382,285
5383,286
5384,284
5385,285
5386,285
5387,285
5388,286
5389,285
5390,284
5391,285
5392,285
5393,284
5394,284
5395,286
5396,286
5397,285
5398,286
5399,285
5400,286
5401,285
5402,284
5403,286
5404,284
5405,284
5406,285
5407,284
5408,285
5409,285
5410,284
5411,286
5412,285
5413,285
5414,285
5415,285
5416,284
5417,284
5418,286
5424,286
5424,284
5425,284
5426,285
5427,284
5428,285
5429,286
5430,284
5431,285
5432,286
5433,285
5434,285
5435,285
5436,284
5437,285
5438,285
5439,285
5440,286
5441,284
5442,285
5443,286
5444,285
5445,285
5446,285
5447,285
5448,285
5449,286
5450,285
5451,285
5452,285
5453,284
5454,287
5455,284
5456,285
5457,286
5458,285
5459,286
5460,285
5461,284
5462,287
5463,285
5464,285
5465,286
5466,284
5467,285
5468,285
5473,286
5473,285
5474,286
5475,284
5476,286
5477,285
5478,285
5479,286
5480,285
5481,286
5482,286
5483,285
5484,285
5485,285
5486,284
5487,285
5488,286
5489,284
5490,284
5491,285
5492,285
5493,284
5494,285
5495,284
5496,285
5497,286
5498,285
5499,285
5500,284
5501,284
5502,286
5503,285
5504,285
5505,284
5506,285
5507,285
5508,285
5509,287
5510,285
5511,285
5512,285
5513,284
5514,285
5515,284
5516,283
5517,285
5518,284
5523,285
5523,284
5524,286
5525,285
5526,284
5527,286
5528,285
5529,285
5530,286
5531,286
5532,285
5533,285
5534,285
5535,285
5536,285
5537,286
5538,284
5539,285
5540,286
5541,285
5542,284
5543,285
5544,283
5545,285
5546,285
5547,286
5548,287
5549,286
5550,284
5551,286
5552,285
5553,285
5554,286
5555,284
5556,286
5557,285
5558,284
5559,285
5560,285
5561,286
5562,286
5563,285
5564,285
5565,285
5566,286
5567,284
5568,287
5573,285
5573,284
5574,285
5575,286
5576,285
5577,283
5578,285
5579,284
5580,285
5581,285
5582,285
5583,286
5584,284
5585,285
5586,285
5587,284
5588,286
5589,285
5590,285
5591,285
5592,285
5593,284
5594,286
5595,284
5596,286
5597,286
5598,285
5599,286
5600,285
5601,287
5602,284
5603,285
5604,286
5605,284
5606,284
5607,285
5608,286
5609,285
5610,286
5611,285
5612,285
5613,285
5614,285
5615,285
5616,285
5617,286
5618,285
5627,284
5627,284
5628,285
5629,284
5630,285
5631,285
5632,285
5633,285
5634,285
5635,284
5636,284
5637,286
5638,285
5639,285
5640,285
5641,284
5642,285
5643,284
5644,285
5645,286
5646,285
5647,286
5648,284
5649,285
5650,285
5651,285
5652,286
5653,284
5654,285
5655,285
5656,284
5657,286
5658,287
5659,286
5660,285
5661,287
5662,284
5663,286
5664,285
5665,285
5666,286
5667,284
5668,285
5673,284
5673,285
5674,286
5675,284
5676,286
5677,286
5678,285
5679,286
5680,285
5681,285
5682,285
5683,285
5684,284
5685,284
5686,286
5687,284
5688,285
5689,285
5690,283
5691,287
5692,284
5693,284
5694,285
5695,284
5696,285
5697,284
5698,285
5699,286
5700,285
5701,285
5702,285
5703,284
5704,285
5705,286
5706,284
5707,287
5708,285
5709,285
5710,285
5711,284
5712,285
5713,285
5714,284
5715,286
5716,284
5717,287
5718,285
5723,283
5723,284
5724,284
5725,285
5726,284
5727,286
5728,284
5729,284
5730,286
5731,284
5732,284
5733,286
5734,285
5735,284
5736,284
5737,285
5738,284
5739,287
5740,285
5741,285
